内容▲,书籍 (作者),类型,位置,日期,
"wyvern,",A Clash of Kings (George R. R. Martin),标注,83,2018/8/25 1:07,w
brooded,A Clash of Kings (George R. R. Martin),标注,84,2018/8/25 1:08,w
grotesques,A Clash of Kings (George R. R. Martin),标注,84,2018/8/25 1:08,w
giddy,A Clash of Kings (George R. R. Martin),标注,90,2018/8/25 1:09,w
vents,A Clash of Kings (George R. R. Martin),标注,92,2018/8/25 1:10,w
yestermorn,A Clash of Kings (George R. R. Martin),标注,93,2018/8/25 1:11,w
drivel,A Clash of Kings (George R. R. Martin),标注,95,2018/8/25 1:12,w
nonetheless.,A Clash of Kings (George R. R. Martin),标注,97,2018/8/25 1:13,w
deft…,A Clash of Kings (George R. R. Martin),标注,105,2018/8/25 8:22,w
strapped,A Clash of Kings (George R. R. Martin),标注,107,2018/8/25 11:32,w
cowbells.,A Clash of Kings (George R. R. Martin),标注,107,2018/8/25 11:32,w
lurching,A Clash of Kings (George R. R. Martin),标注,107,2018/8/25 11:32,w
Guileless,A Clash of Kings (George R. R. Martin),标注,109,2018/8/25 11:33,w
disfigurement,A Clash of Kings (George R. R. Martin),标注,110,2018/8/25 11:34,w
legacy,A Clash of Kings (George R. R. Martin),标注,111,2018/8/25 11:34,w
crib.,A Clash of Kings (George R. R. Martin),标注,111,2018/8/25 11:34,w
"flaking,",A Clash of Kings (George R. R. Martin),标注,112,2018/8/25 11:38,w
mottled,A Clash of Kings (George R. R. Martin),标注,112,2018/8/25 11:39,w
"Her sadness is my shame, the old man thought, another mark of my failure.",A Clash of Kings (George R. R. Martin),标注,115,2018/8/25 11:41,
The fool turned his patched and piebald,A Clash of Kings (George R. R. Martin),标注,121,2018/8/25 11:43,
piebald,A Clash of Kings (George R. R. Martin),标注,121,2018/8/25 11:43,w
evoke,A Clash of Kings (George R. R. Martin),标注,123,2018/8/25 11:44,w
gales,A Clash of Kings (George R. R. Martin),标注,123,2018/8/25 11:44,w
"quip,",A Clash of Kings (George R. R. Martin),标注,123,2018/8/25 11:45,w
"obese,",A Clash of Kings (George R. R. Martin),标注,124,2018/8/25 11:45,w
twitches,A Clash of Kings (George R. R. Martin),标注,124,2018/8/25 11:45,w
incoherent,A Clash of Kings (George R. R. Martin),标注,124,2018/8/25 11:45,w
beckoned,A Clash of Kings (George R. R. Martin),标注,126,2018/8/25 11:46,w
snug,A Clash of Kings (George R. R. Martin),标注,127,2018/8/25 11:47,w
scarce,A Clash of Kings (George R. R. Martin),标注,127,2018/8/25 11:47,w
crenellations.”,A Clash of Kings (George R. R. Martin),标注,132,2018/8/25 11:49,
frail,A Clash of Kings (George R. R. Martin),标注,133,2018/8/25 11:50,w
stern,A Clash of Kings (George R. R. Martin),标注,137,2018/8/25 11:52,
Conclave,A Clash of Kings (George R. R. Martin),标注,143,2018/8/25 11:55,
grant,A Clash of Kings (George R. R. Martin),标注,146,2018/8/25 11:56,
bountiful,A Clash of Kings (George R. R. Martin),标注,146,2018/8/25 11:56,
nennymoans,A Clash of Kings (George R. R. Martin),标注,148,2018/8/25 11:57,
"albino,",A Clash of Kings (George R. R. Martin),标注,154,2018/8/25 11:59,
nimble,A Clash of Kings (George R. R. Martin),标注,167,2018/8/25 12:31,
courtiers.,A Clash of Kings (George R. R. Martin),标注,167,2018/8/25 12:31,
saddened,A Clash of Kings (George R. R. Martin),标注,169,2018/8/25 12:32,
two-masted,A Clash of Kings (George R. R. Martin),标注,171,2018/8/25 12:32,
parapets,A Clash of Kings (George R. R. Martin),标注,171,2018/8/25 12:32,
oarsmen,A Clash of Kings (George R. R. Martin),标注,172,2018/8/25 14:06,
clammy,A Clash of Kings (George R. R. Martin),标注,176,2018/8/25 14:07,
sworn,A Clash of Kings (George R. R. Martin),标注,176,2018/8/25 14:07,
motley.,A Clash of Kings (George R. R. Martin),标注,181,2018/8/25 14:09,
wretch,A Clash of Kings (George R. R. Martin),标注,181,2018/8/25 14:09,
"Harbert,",A Clash of Kings (George R. R. Martin),标注,181,2018/8/25 14:12,
castellan,A Clash of Kings (George R. R. Martin),标注,182,2018/8/25 14:12,
disentangled,A Clash of Kings (George R. R. Martin),标注,194,2018/8/25 14:32,
vex,A Clash of Kings (George R. R. Martin),标注,195,2018/8/25 14:32,
"frail,",A Clash of Kings (George R. R. Martin),标注,197,2018/8/25 14:33,
turnpike,A Clash of Kings (George R. R. Martin),标注,197,2018/8/25 14:33,
rumbled,A Clash of Kings (George R. R. Martin),标注,199,2018/8/25 14:34,
contemplate.,A Clash of Kings (George R. R. Martin),标注,200,2018/8/25 14:34,
ordeal.,A Clash of Kings (George R. R. Martin),标注,201,2018/8/25 14:35,
"bailey,",A Clash of Kings (George R. R. Martin),标注,203,2018/8/25 14:35,
"“Notch,",A Clash of Kings (George R. R. Martin),标注,204,2018/8/25 14:36,
butts,A Clash of Kings (George R. R. Martin),标注,204,2018/8/25 14:36,
"Guardsmen strode the wallwalks, peering between the gargoyles on the host camped without. The",A Clash of Kings (George R. R. Martin),标注,205,2018/8/25 14:38,
"Guardsmen strode the wallwalks, peering between the gargoyles on the host camped without.",A Clash of Kings (George R. R. Martin),标注,205,2018/8/25 14:39,
sprawl,A Clash of Kings (George R. R. Martin),标注,206,2018/8/25 14:39,
anchorage,A Clash of Kings (George R. R. Martin),标注,206,2018/8/25 14:39,
galley,A Clash of Kings (George R. R. Martin),标注,207,2018/8/25 14:40,
carracks,A Clash of Kings (George R. R. Martin),标注,208,2018/8/25 14:40,
cogs,A Clash of Kings (George R. R. Martin),标注,208,2018/8/25 14:41,
scuff,A Clash of Kings (George R. R. Martin),标注,212,2018/8/25 14:42,
draped,A Clash of Kings (George R. R. Martin),标注,214,2018/8/25 14:42,
doublet,A Clash of Kings (George R. R. Martin),标注,214,2018/8/25 14:43,
breeches,A Clash of Kings (George R. R. Martin),标注,214,2018/8/25 14:43,
pouch,A Clash of Kings (George R. R. Martin),标注,214,2018/8/25 14:43,
thong.,A Clash of Kings (George R. R. Martin),标注,214,2018/8/25 14:43,
peppered,A Clash of Kings (George R. R. Martin),标注,215,2018/8/25 14:43,
maimed,A Clash of Kings (George R. R. Martin),标注,215,2018/8/25 14:43,
notorious,A Clash of Kings (George R. R. Martin),标注,218,2018/8/25 14:44,
elusive,A Clash of Kings (George R. R. Martin),标注,218,2018/8/25 14:44,
stubby,A Clash of Kings (George R. R. Martin),标注,222,2018/8/25 14:45,
grove.,A Clash of Kings (George R. R. Martin),标注,223,2018/8/25 14:46,
"Bryce the Orange, of the Rainbow Guard.” “The Rainbow",A Clash of Kings (George R. R. Martin),标注,225,2018/8/25 14:48,
raiment,A Clash of Kings (George R. R. Martin),标注,227,2018/8/25 14:49,
refusals?”,A Clash of Kings (George R. R. Martin),标注,232,2018/8/25 14:50,
"blunt,",A Clash of Kings (George R. R. Martin),标注,233,2018/8/25 14:50,
garrison,A Clash of Kings (George R. R. Martin),标注,236,2018/8/25 14:51,
burgundy,A Clash of Kings (George R. R. Martin),标注,237,2018/8/25 14:52,
Arbor.,A Clash of Kings (George R. R. Martin),标注,237,2018/8/25 14:52,
garrison,A Clash of Kings (George R. R. Martin),标注,238,2018/8/25 14:53,
cordon,A Clash of Kings (George R. R. Martin),标注,239,2018/8/25 14:53,
"hull,",A Clash of Kings (George R. R. Martin),标注,240,2018/8/25 14:54,
crammed,A Clash of Kings (George R. R. Martin),标注,240,2018/8/25 14:54,
butcher’s,A Clash of Kings (George R. R. Martin),标注,244,2018/8/25 14:55,
"cleaver,",A Clash of Kings (George R. R. Martin),标注,244,2018/8/25 14:55,
"boon,",A Clash of Kings (George R. R. Martin),标注,246,2018/8/25 14:56,
"draught,",A Clash of Kings (George R. R. Martin),标注,247,2018/8/25 14:56,
meager,A Clash of Kings (George R. R. Martin),标注,249,2018/8/25 14:57,
slab,A Clash of Kings (George R. R. Martin),标注,253,2018/8/25 14:58,
sawing,A Clash of Kings (George R. R. Martin),标注,255,2018/8/25 14:59,
jerkin,A Clash of Kings (George R. R. Martin),标注,259,2018/8/25 15:00,
breeches,A Clash of Kings (George R. R. Martin),标注,259,2018/8/25 15:00,
roughspun,A Clash of Kings (George R. R. Martin),标注,259,2018/8/25 15:01,
sinewy,A Clash of Kings (George R. R. Martin),标注,262,2018/8/25 15:02,
"limb,",A Clash of Kings (George R. R. Martin),标注,262,2018/8/25 15:02,
fringe,A Clash of Kings (George R. R. Martin),标注,263,2018/8/25 15:02,
whiskers,A Clash of Kings (George R. R. Martin),标注,265,2018/8/25 15:03,
drollest,A Clash of Kings (George R. R. Martin),标注,267,2018/8/25 15:03,
